t_AB: 0.3675,0.8463,0.9919,0.9997,0.9997,0.939,0.6225,0.9228,0.9922,0.9417,0.9715,0.7478,0.9057,0.5794,0.5892
t_AS: 0.5064,0.8829,0.9843,0.9392,0.0,0.935,0.6333,0.9709,0.9744,0.9446,0.9756,0.0,0.8882,0.584,0.5886
_BLS: 0.4687,0.8958,0.9997,0.9355,0.7997,0.9352,0.6237,0.9673,0.9795,0.9331,0.9754,0.7837,0.901,0.5939,0.5882
t_HB: 0.8555,0.9677,0.9918,0.9771,0.997,0.936,0.6947,0.9784,0.9883,0.9549,0.972,0.793,0.9556,0.737,0.6861
_HUE: 0.8534,0.9673,0.9918,0.9759,0.997,0.925,0.6992,0.9856,0.9844,0.9536,0.9751,0.8073,0.9562,0.7411,0.6851
t_RB: 0.8074,0.9736,0.9955,0.9906,0.9993,0.9409,0.6389,0.9855,0.9961,0.9675,0.9842,0.8186,0.0,0.0,0.0
t_SB: 0.4335,0.8738,0.9922,0.9367,0.9997,0.9153,0.639,0.9816,0.9807,0.9415,0.9733,0.7468,0.8915,0.5842,0.5857
SENN: 0.6522,0.9683,0.9834,0.9489,0.9997,0.9344,0.6978,0.9818,0.9603,0.9344,0.9461,0.7532,0.8973,0.6437,0.6431
_SHB: 0.4601,0.9196,0.9997,0.9677,0.9997,0.9337,0.6471,0.9855,0.9922,0.9495,0.9758,0.7994,0.9427,0.612,0.6027
t_ST: 0.4906,0.8974,0.9919,0.9438,0.9997,0.9215,0.6374,0.9746,0.9883,0.9444,0.9759,0.7509,0.8958,0.5896,0.5864
